ASV,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV2767,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,
ASV2768,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidales_[F-2],Bacteroidales_[G-2],bacterium_HMT_274
ASV2769,Bacteria,Saccharibacteria_(TM7),Saccharibacteria_(TM7)_[C-1],Saccharibacteria_(TM7)_[O-1],Saccharibacteria_(TM7)_[F-1],Saccharibacteria_(TM7)_[G-1],bacterium_HMT_488
ASV2770,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,elongata
ASV2771,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,wadei
ASV2772,Bacteria,Bacteroidetes,Bacteroidetes_[C-1],Bacteroidetes_[O-1],Bacteroidetes_[F-1],Bacteroidetes_[G-5],bacterium_HMT_505
ASV2773,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,oralis_subsp._dentisani_clade_398
ASV2774,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,nucleatum_subsp._vincentii
ASV2775,Bacteria,Saccharibacteria_(TM7),Saccharibacteria_(TM7)_[C-1],Saccharibacteria_(TM7)_[O-1],Saccharibacteria_(TM7)_[F-1],Saccharibacteria_(TM7)_[G-3],bacterium_HMT_351
ASV2776,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Mitsuokella,sp._HMT_521
ASV2777,Bacteria,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,,
ASV2778,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,agalactiae
ASV2779,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,agalactiae
